word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
boaTa; box;Noun;boaTat;;;;;;; بواطة  ; [sound:darija_662.mp3];
kleenex; tissue;Noun;kleenexat;;;;;;; كلينيكس  ; [sound:darija_663.mp3];
m3la9; coat hanger;Noun;m3la9at;;;;;;; معلاق  ; [sound:darija_664.mp3];
sutian; bra;Noun;sutianat;;;;;;; سوتيان  ; [sound:darija_665.mp3];
caleçon; boxer;Noun;caleçonat;;;;;;; كالسون  ; [sound:darija_666.mp3];
slip; panties;Noun;slippat;;;;;;; سليب  ; [sound:darija_667.mp3];
rwida; wheel;Noun;rwayd;;;;;;; رويدة  ; [sound:darija_668.mp3];
gidun; steering wheel;Noun;gidunat;;;;;;; كيدون  ; [sound:darija_669.mp3];
teSwira; picture;Noun;tSawer;;;;;;; تصويرة  ; [sound:darija_670.mp3];
étagère; shelf;Noun;les étagères;;;;;;; إيطاجير  ; [sound:darija_671.mp3];
SemTa; belt;Noun;SemTat/SmaTi;;;;;;; صمطة  ; [sound:darija_672.mp3];
télécommande; remote control;Noun;télécommandat;;;;;;; تيليكوموند  ; [sound:darija_673.mp3];
SeDfa; button (clothing);Noun;SDafi;;;;;;; صَدْفَة  ; [sound:darija_674.mp3];
buTun; button (press);Noun;buTunat;;;;;;; بوطون  ; [sound:darija_675.mp3];
kura; ball;Noun;kurat/kwari;;;;;;; كورة  ; [sound:darija_676.mp3];
kabel; cable;Noun;kablat;;;;;;; كابل  ; [sound:darija_677.mp3];
Dfer; nail;Noun;Dfar;;;;;;; ظفر  ; [sound:darija_678.mp3];
gdem; heel;Noun;gdam;;;;;;; قدم  ; [sound:darija_679.mp3];
Sonnette; doorbell;Noun;Sonettat;;;;;;; سونيط  ; [sound:darija_680.mp3];
zehra; flower;Noun;zzher;;;;;;; زهرة  ; [sound:darija_681.mp3];
werda; rose;Noun;werd;;;;;;; وردة  ; [sound:darija_682.mp3];
chinwa; china;;;;;;;;; الصين  ; [sound:darija_683.mp3];
