word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
seb3a;seven;Numeral;;;;;;;; سبعة  ; [sound:darija_11.mp3]  ;
tmenia;eight;Numeral;;;;;;;; تمنية  ; [sound:darija_12.mp3]  ;
tes3ud;nine;Numeral;;;;;;;; تسعود  ; [sound:darija_13.mp3]  ;
3echra;ten;Numeral;;;;;;;; عشرة  ; [sound:darija_14.mp3]  ;
7Dach;eleven;Numeral;;;;;;;; حضاش  ; [sound:darija_15.mp3]  ;
Tnach;twelve;Numeral;;;;;;;; طناش  ; [sound:darija_16.mp3]  ;
telTTach;thirteen;Numeral;;;;;;;; تلطاش  ; [sound:darija_17.mp3]  ;
rbe3Tach;fourteen;Numeral;;;;;;;; ربعطاش  ; [sound:darija_18.mp3]  ;
khemsTTach;fifteen;Numeral;;;;;;;; خمسطاش  ; [sound:darija_19.mp3]  ;
seTTach;sixteen;Numeral;;;;;;;; سطاش  ; [sound:darija_20.mp3]  ;
sbe3Tach;seventeen;Numeral;;;;;;;; سبعطاش  ; [sound:darija_21.mp3]  ;
tmenTach;eighteen;Numeral;;;;;;;; تمنطاش  ; [sound:darija_22.mp3]  ;
tse3Tach;nineteen;Numeral;;;;;;;; تسعطاش  ; [sound:darija_23.mp3]  ;
3echrin;twenty;Numeral;;;;;;;; عشرين  ; [sound:darija_24.mp3]  ;
wa7ed w 3echrin;twenty one;Numeral;;;;;;;; واحد و عشرين  ; [sound:darija_25.mp3]  ;
tlatin;thirty;Numeral;;;;;;;; تلاتين  ; [sound:darija_26.mp3]  ;
reb3in;forty;Numeral;;;;;;;; ربعين  ; [sound:darija_27.mp3]  ;
khemsin;fifty;Numeral;;;;;;;; خمسين  ; [sound:darija_28.mp3]  ;
settin;sixty;Numeral;;;;;;;; ستين  ; [sound:darija_29.mp3]  ;
seb3in;seventy;Numeral;;;;;;;; سبعين  ; [sound:darija_30.mp3]  ;
tmanin;eighty;Numeral;;;;;;;; تمانين  ; [sound:darija_31.mp3]  ;
tes3in;ninety;Numeral;;;;;;;; تسعين  ; [sound:darija_32.mp3]  ;
mya;one hundred;Numeral;;;;;;;; مية  ; [sound:darija_33.mp3]  ;
alf;one thousand;Numeral;;;;;;;; ألف  ; [sound:darija_34.mp3]  ;
3echralaf;ten thousand;Numeral;;;;;;;; عشرآلاف  ; [sound:darija_35.mp3]  ;
myatalf;one hundred thousand;Numeral;;;;;;;; مية ألف  ; [sound:darija_36.mp3]  ;
melyun;one million;Numeral;;;;;;;; مليون  ; [sound:darija_37.mp3]  ;
melyar;one billion;Numeral;;;;;;;; مليار  ; [sound:darija_38.mp3];
mra; woman;Noun;3yalat;;;;;;; مرأة  ; [sound:darija_39.mp3]  ;
Sif;summer;Noun;Syufa;;;;;;;صيف; [sound:darija_40.mp3]  ;
m3a;with/at;Preposition;;;;;;;; مع  ; [sound:darija_916.mp3];
Tul;length;Noun;Tul;;;;;;;طول; [sound:darija_42.mp3]  ;
7uma;neighbourhood;Noun;7umat;;;;;;;حومى; [sound:darija_43.mp3]  ;
chaf; to see, to look;Verb;;chuf;;;;;; شاف  ; [sound:darija_827.mp3];
m3eTTel; late;Adjective;;;m3eTTla;m3eTTlin;m3eTTlat;;; معطل  ; [sound:darija_45.mp3]  ;
bekri; early;Adverb;;;;;;;; بكري  ; [sound:darija_46.mp3]  ;
kaneTa;can;Noun;kaneTat;;;;;;; كانيطة  ; [sound:darija_47.mp3]  ;
derri;" boy ;guy";Noun;drari;;;;;;; دري  ; [sound:darija_48.mp3]  ;
derriya; girl;Noun;derriyat;;;;;;; درية  ; [sound:darija_49.mp3]  ;
l7em; meat;Noun;l7em;;;;;;;لحم  ; [sound:darija_50.mp3]  ;
kheDra;veggie;Noun;kheDra;;;;;;;خضرة; [sound:darija_51.mp3]  ;
rbi3;spring;Noun;rbi3;;;;;;;ربيع; [sound:darija_52.mp3]  ;
muwDDaf; employee;Noun;muwDDafin;;;;;;; موظف  ; [sound:darija_53.mp3]  ;
Sba7; morning;Noun;Sba7at;;;;;;;صباح  ; [sound:darija_54.mp3]  ;
nhar; day;Noun;nharat;;;;;;; نهار  ; [sound:darija_55.mp3]  ;
kul kulla; every all of;Pronoun;;;;;;;; كل كُلَّ  ; [sound:darija_56.mp3]  ;
3a2ila; family;Noun;3a2ilat;;;;;;; عائلة  ; [sound:darija_57.mp3]  ;
3endi; in my possession;Adverb;;;;;;;; عندي  ; [sound:darija_58.mp3]  ;
Sa7ba;female friend;Noun;S7abat;;;;;;;صاحبة; [sound:darija_59.mp3]  ;
jedd; grand-father;Noun;jduda;;;;;;; جد  ; [sound:darija_60.mp3]  ;
jedda; grand-mother;Noun;jeddat;;;;;;; جدة  ; [sound:darija_61.mp3]  ;
bezzaf; a lot too a lot;Adverb;;;;;;;; بزاف  ; [sound:darija_62.mp3]  ;
ttnin;monday;Noun (Day of the week);;;;;;;; الاثنين  ; [sound:darija_63.mp3]  ;
ttlat;tuesday;Noun (Day of the week);;;;;;;; الثلاثاء  ; [sound:darija_64.mp3]  ;
larbe3;wednesday;Noun (Day of the week);;;;;;;; الأربعاء  ; [sound:darija_65.mp3]  ;
lekhmis;thursday;Noun (Day of the week);;;;;;;; الخميس  ; [sound:darija_66.mp3]  ;
jjem3a;friday;Noun (Day of the week);;;;;;;; الجمعة  ; [sound:darija_67.mp3]  ;
ssebt;Saturday;Noun (Day of the week);;;;;;;;السبت; [sound:darija_68.mp3]  ;
l7edd; Sunday;Noun (Day of the week);;;;;;;; الحد  ; [sound:darija_69.mp3]  ;
bernamaj; program;Noun;baramij;;;;;;; برنامج  ; [sound:darija_70.mp3]  ;
n3as; sleep;Noun;n3as;;;;;fiya nn3as.;I am sleepy.;نعاس; [sound:darija_71.mp3]  ;
Tbib; doctor;Noun;Tbba;;;;;;; طبيب  ; [sound:darija_72.mp3]  ;
su9; market;Noun;swa9;;;;;;; سوق  ; [sound:darija_73.mp3]  ;
khrej;To go out;Verb;;khrej;;;;;; خرج  ; [sound:darija_74.mp3]  ;
kherrej; to take out;Verb;;kherrej;;;;;; خرج; [sound:darija_75.mp3]  ;
rje3; to return \n to come back;Verb;;rje3;;;;;; رجع  ; [sound:darija_76.mp3]  ;
rejje3; to return (something) give back;Verb;;rejje3;;;;;; رجع; [sound:darija_77.mp3]  ;
mriD; sick;Adjective;;;mriDa;mrAd;mraDat;;; مريض  ; [sound:darija_78.mp3]  ;
bjuj;both;;;;;;;;;بجوج; [sound:darija_79.mp3]  ;
fTer; to have breakfast;Verb;;fTer;;;;;; فطر  ; [sound:darija_80.mp3]  ;
fa9; to wake up;Verb;;fi9;;;;;; فاق  ; [sound:darija_897.mp3];
t3echcha; to have dinner;Verb;;t3echcha;;;;;; تعشى  ; [sound:darija_82.mp3]  ;
3amer; full;Adjective;;;3amra;3amrin;3amrat;;; عامر  ; [sound:darija_83.mp3]  ;
khawi; empty;Adjective;;;khawya;khawyin;khawyat;;; خاوي  ; [sound:darija_84.mp3]  ;
t9edda; to go shopping;Verb;;t9edda;;;;;; تقدى  ; [sound:darija_85.mp3]  ;
m3ach m3ayach fu9ach imta;when what time;Pronoun;;;;;;;;معاش معاياش فوقاش إمتى; [sound:darija_86.mp3]  ;
sa3a; hour watch;Noun;swaye3;;;;;;; ساعة  ; [sound:darija_87.mp3]  ;
ch7al; how many how much;Pronoun;;;;;;;; شحال  ; [sound:darija_88.mp3]  ;
jab; to bring;Verb;;jib;;;;;; جاب  ; [sound:darija_89.mp3]  ;
Sag; to drive;Verb;;Sug;;;;;; صاق  ; [sound:darija_90.mp3]  ;
7lem;to dream;Verb;;7lem;;;;;;حلم; [sound:darija_91.mp3]  ;
wjeh; face;Noun;wjuh;;;;;;; وجه  ; [sound:darija_92.mp3]  ;
neS; half;Noun;nSuSa;;;;;;; نص  ; [sound:darija_93.mp3]  ;
7wayj; clothes;Noun;7wayj;;;;;;; حوايج  ; [sound:darija_94.mp3]  ;
khda; to take;Verb;;yakhed;;;;;; خدا  ; [sound:darija_96.mp3]  ;
9ehwa; coffee café;Noun;9hawi;;;;;;; قهوة  ; [sound:darija_97.mp3]  ;
7lib; milk;Noun;7lib;;;;;;; حليب  ; [sound:darija_98.mp3]  ;
khebza; bread;Noun;khubz khebzat;;;;;;; خبزة  ; [sound:darija_99.mp3]  ;
zebda; butter;Noun;zebda;;;;;;; زبدة  ; [sound:darija_100.mp3] ;
3aSir; juice;Noun;3aSir;;;;;;; عصير  ; [sound:darija_101.mp3]  ;
limuna; orange;Noun;limun;;;;;;; ليمونة  ; [sound:darija_102.mp3]  ;
bra; to be cured;Verb;;bra;;;;;; برا  ; [sound:darija_103.mp3]  ;
tghedda; to have lunch;Verb;;tghedda;;;;;; تغدى  ; [sound:darija_104.mp3]  ;
rta7; to rest;Verb;;rta7;;;;;; رتاح  ; [sound:darija_105.mp3]  ;
chwiya; a little;;;;;;;;; شوية  ; [sound:darija_106.mp3]  ;
mnin; from where;Preposition;;;;;;;; منين  ; [sound:darija_107.mp3]  ;
rbe3; quarter;;;;;;;;; ربع  ; [sound:darija_108.mp3]  ;
mcha; to go;Verb;;mchi;;;;;; مشى  ; [sound:darija_109.mp3]  ;
dar.; house home;Noun;dyur;;;;;;; دار  ; [sound:darija_110.mp3]  ;
7awel;to try;Verb;;7awel;;;;;;حاول; [sound:darija_111.mp3]  ;
n3es; to sleep;Verb;;n3es;;;;;; نعس  ; [sound:darija_112.mp3]  ;
merra; time;Noun;merrat;;;;;;; مرة  ; [sound:darija_113.mp3]  ;
akher; another;Pronoun;;;;;;;; آخر  ; [sound:darija_114.mp3]  ;
khra; another (f);Pronoun;;;;;;;; أخرى  ; [sound:darija_115.mp3]  ;
bgha;to want to love;Verb;;bghi;;;;;; بغى  ; [sound:darija_898.mp3];
chi; some;Pronoun;;;;;;;; شي  ; [sound:darija_117.mp3]  ;
jme3; to collect to organize to gather;Verb;;jme3;;;;;; جمع  ; [sound:darija_118.mp3]  ;
zbel; trash;Noun;zbel;;;;;;; زبل  ; [sound:darija_119.mp3]  ;
jaweb redd; to answer;Verb;;jaweb redd;;;;;;جاوب رد; [sound:darija_120.mp3]  ;
ne99a; to clean;Verb;;ne99i;;;;;; نقى  ; [sound:darija_121.mp3]  ;
daba; now;Adverb;;;;;;;; دابا  ; [sound:darija_122.mp3]  ;
9bila; earlier;Adverb;;;;;;;; قبيلة  ; [sound:darija_123.mp3]  ;
b9a; to stay to be left to remain;Verb;;b9a;;;;;; بقى  ; [sound:darija_877.mp3];
ba9i; still;Adjective;;;ba9ya;ba9yin;ba9yat;;; باقي  ; [sound:darija_125.mp3]  ;
khedma; work;Noun;khedmat khdami;;;;;;; خدمة  ; [sound:darija_917.mp3];
mti7an; exam;Noun;mti7anat;;;;;;; امتحان  ; [sound:darija_127.mp3]  ;
ghir; just only;Adverb;;;;;;;; غير  ; [sound:darija_128.mp3]  ;
liya; to me for me;Preposition with pronoun;;;;;;;; ليا  ; [sound:darija_129.mp3]  ;
Se77e7; to correct;Verb;;S77e7;;;;;; صحح  ; [sound:darija_130.mp3]  ;
teS7i7; correction;Noun;taSa7i7;;;;;;; تصحيح  ; [sound:darija_131.mp3]  ;
7bes;to stop;Verb;;7bes;;;;;;حبس; [sound:darija_879.mp3];
kan; was (describes past state);Verb;;kun;;;;;; كان  ; [sound:darija_776.mp3];
Sa7i7; correct;Adjective;;;Sa7i7a;Sa7i7in;Sa7i7at;;; صحيح  ; [sound:darija_134.mp3]  ;
S7i7; strong healthy;Adjective;;;S7i7a;S7a7;S7a7at;;; صحيح; [sound:darija_135.mp3]  ;
D3if; weak thin skinny;Adjective;;;D3ifa;D3af;D3afat;;; ضعيف  ; [sound:darija_136.mp3]  ;
mumkin; possible;Adjective;;;mumkina;-;-;;; ممكن  ; [sound:darija_137.mp3]  ;
Teyyeb; to cook;Verb;;Teyyeb;;;;;; طيب  ; [sound:darija_138.mp3]  ;
lyum; today;Adverb;;;;;;;; اليوم  ; [sound:darija_139.mp3]  ;
lbare7; yesterday;;;;;;;;; البارح  ; [sound:darija_140.mp3]  ;
ghdda; tomorrow;Adverb;;;;;;;; غدا  ; [sound:darija_141.mp3]  ;
Simana; week;Noun;Simanat;;;;;;; صيمانة  ; [sound:darija_142.mp3]  ;
kelma;word;Noun;kelmat/klam;;;;;;;كلمة; [sound:darija_143.mp3]  ;
congé; vacation;Noun;les congés;;;;;;; عطلة  ; [sound:darija_144.mp3]  ;
3oTla; holiday;Noun;3oTlat/3oTal;;;;;;; عطلة  ; [sound:darija_145.mp3]  ;
sekhkhen; to warm up;Verb;;sekhkhen;;;;;; سخن  ; [sound:darija_146.mp3]  ;
berred; to make (something) cold;Verb;;berred;;;;;; برد  ; [sound:darija_147.mp3]  ;
chaT; to be left over;Verb;;chiT;;;;;;شاط  ; [sound:darija_148.mp3]  ;
jumla;sentence;Noun;jumal;;;;;;;جملة; [sound:darija_149.mp3]  ;
3afak; please;;;;;;;;; عافاك  ; [sound:darija_150.mp3];
ghadi; future particle;;;;;;;;; غادي  ; [sound:darija_913.mp3];
melli; when;;;;;;;;; ملي  ; [sound:darija_152.mp3];
resto; restaurant;Noun;les restos restoat;;;;;;; ريسطو  ; [sound:darija_153.mp3];
zar; to visit;Verb;;zur;;;;;;زار; [sound:darija_154.mp3];
khal; maternal uncle;Noun;khwal;;;;;;; خال  ; [sound:darija_155.mp3];
sket; to be silent to shut up;Verb;;sket;;;;;; سكت  ; [sound:darija_156.mp3];
sekket; to silence to turn off;Verb;;sekket;;;;;; سكّت  ; [sound:darija_157.mp3];
Tomobil Tomobila; car;Noun;Tomobilat;;;;;;; طوموبيل  ; [sound:darija_158.mp3];
musi9a; music;Noun;mmase9;;;;;;; موسيقى  ; [sound:darija_159.mp3];
micro-onde; microwave;Noun;les micro-ondes;;;;;;; ميكرو أوند  ; [sound:darija_160.mp3];
Tfa; to turn off;Verb;;Tfi;;;;;; طفى  ; [sound:darija_161.mp3];
ch3el; to turn on;Verb;;ch3el;;;;;; شعل  ; [sound:darija_162.mp3];
DDo; electricity light;Noun;DDo;;;;;;; ضو  ; [sound:darija_163.mp3];
lma; water;Noun;lma lmiman;;;;;;; الما; [sound:darija_901.mp3];
telfaza; TV;Noun;telfazat;;;;;;; تلفازة  ; [sound:darija_165.mp3];
lbess; to wear to put on;Verb;;lbess;;;;;; لبس  ; [sound:darija_166.mp3];
cache-col; scarf;Noun;cache-colat;;;;;;; كاشكول  ; [sound:darija_167.mp3];
keswa; dress;Noun;keswat/ksawi;;;;;;; كسوة  ; [sound:darija_168.mp3];
monTo/manteau; coat;Noun;monToat/les manteaux;;;;;;; مونطو  ; [sound:darija_169.mp3];
serwal; pants;Noun;srawel;;;;;;; سروال  ; [sound:darija_170.mp3];
pyjama;pyjama;Noun;pyjamat;;;;;;;پيجامة; [sound:darija_171.mp3];
tekchiTa; moroccan dress for women;Noun;tekchiTat/tkacheT;;;;;;; تكشيطة  ; [sound:darija_172.mp3];
7eyyed; to take off get rid of;Verb;;7eyyed;;;;;; حيّد  ; [sound:darija_173.mp3];
Tagiya; beanie;Noun;Tagiyat;;;;;;; طاكيا  ; [sound:darija_174.mp3];
SenDala; sandals;Noun;SenDalat/SnaDel;;;;;;; صندالة  ; [sound:darija_175.mp3];
jellaba; djellaba;Noun;jellabat/jlaleb;;;;;;; جلابة  ; [sound:darija_176.mp3];
djakeTa; jacket;Noun;djakeTat;;;;;;; دجاكيطة; [sound:darija_177.mp3];
ghsel; to wash;Verb;;ghsel;;;;;; غسل  ; [sound:darija_178.mp3];
mse7; to wipe;Verb;;mse7;;;;;; مسح  ; [sound:darija_179.mp3];
wejjed; to prepare;Verb;;wejjed;;;;;; وجد  ; [sound:darija_180.mp3];
yedd; hand;Noun;yeddin;;;;;;; يد  ; [sound:darija_181.mp3];
rjel; foot;Noun;rjlin;;;;;;; رجل  ; [sound:darija_182.mp3];
9bel; before;;;;;;;;; قبل  ; [sound:darija_777.mp3];
men; of from;Preposition;;;;;;;; من  ; [sound:darija_184.mp3];
sebbaT; shoe;Noun;SbabeT;;;;;chrit juj Sbabet.;I bought two pairs of shoes.; صباط  ; [sound:darija_185.mp3];
Sle7; to iron;Verb;;Sle7;;;;;; صلح  ; [sound:darija_186.mp3];
9amija; shirt;Noun;9wamej/9amijat;;;;;;; قميجة  ; [sound:darija_187.mp3];
senna; tooth;Noun;snan;;;;;;; سنة  ; [sound:darija_188.mp3];
l9a; to find;Verb;;l9a;;;;;; لقى  ; [sound:darija_808.mp3];
tferrej; to watch;Verb;;tferrej;;;;;; تفرج  ; [sound:darija_900.mp3];
mur mura; after behind;;;;;;;;; مور  ; [sound:darija_192.mp3];
9eddam; in front of;;;;;;;;; قدام  ; [sound:darija_193.mp3];
ssi sidi; mister;Noun;syadi;;;;;;; سّي سيدي; [sound:darija_194.mp3];
lla lalla;" ma&#x27;am";;;;;;;;; لالة  ; [sound:darija_195.mp3];
ghalaT; mistake;Noun;aghlaT;;;;;;; غلط  ; [sound:darija_751.mp3];
ghleT; to make a mistake;Verb;;ghleT;;;;;; غلّط  ; [sound:darija_197.mp3];
bach; so that in order to;Conjunction;;;;;;;; باش  ; [sound:darija_807.mp3];
khaTa2 ghalaT;mistake error;Noun;akhTa2 aghlaT;;;;;;;خطأ غلط; [sound:darija_199.mp3];
tmenna; to wish;Verb;;tmenna;;;;;; تمنى  ; [sound:darija_200.mp3];
na9eS; missing;Adjective;;;na9Sa;na9Sin;na9Sat;ch7al men wa7ed na9eS? na9eSni chwiya dyal lefluss.;How many are missing? I am missing a bit of money.; ناقص  ; [sound:darija_201.mp3];
ghalaT khaTa2;wrong false;Adjective;;;;;;;; غلط خطأ; [sound:darija_921.mp3];
skhun; hot;Adjective;;;skhuna;skhan;skhunat;;; سخون  ; [sound:darija_203.mp3];
bared; cold;Adjective;;;barda;bardin;bardat;;; بارد  ; [sound:darija_787.mp3];
berd; cold (weather);Noun;berd;;;;;;; البرد  ; [sound:darija_205.mp3];
Sehd; hot (weather);Noun;Sehd;;;;;;; صهد  ; [sound:darija_206.mp3];
kif b7al;like;Particle;;;;;;;; كيف بحال; [sound:darija_207.mp3];
ghaliban; probably;Adverb;;;;;;;; غالباً  ; [sound:darija_208.mp3];
awwal; first;Adjective;;;;;;;; أول  ; [sound:darija_209.mp3];
tani; second;Adjective;;;;;;;; ثاني  ; [sound:darija_210.mp3];
talet; third;Adjective;;;;;;;; ثالث  ; [sound:darija_211.mp3];
rabe3; fourth;Adjective;;;;;;;; رابع  ; [sound:darija_212.mp3];
khames; fifth;Adjective;;;;;;;; خامس  ; [sound:darija_213.mp3];
sades; sixth;Adjective;;;;;;;; سادس  ; [sound:darija_214.mp3];
sabe3; seventh;Adjective;;;;;;;; سابع  ; [sound:darija_215.mp3];
tamen; eighth;Adjective;;;;;;;; ثامن  ; [sound:darija_216.mp3];
tase3; nineth;Adjective;;;;;;;; تاسع  ; [sound:darija_217.mp3];
3acher; tenth;Adjective;;;3achrat;3achrin;3achra;;; عاشر  ; [sound:darija_218.mp3];
dar; to do to make;Verb;;dir;;;;;; دار; [sound:darija_219.mp3];
Dar; to turn;Verb;;Dur;;;;;; ضار  ; [sound:darija_220.mp3];
nDaDer; glasses;Noun;nDaDer;;;;;;; نضاضر  ; [sound:darija_221.mp3];
pantofa; slippers;Noun;pantofat;;;;;;; بانطوفة  ; [sound:darija_222.mp3];
telmid; student;Noun;talamid;;;;;;; تلميذ  ; [sound:darija_223.mp3];
temrin; exercise;Noun;tamarin;;;;;;; تمرين  ; [sound:darija_224.mp3];
chreb; to drink;Verb;;chreb;;;;;; شرب  ; [sound:darija_225.mp3];
yawmiwyan; daily;Adverb;;;;;;;; يومياً  ; [sound:darija_226.mp3];
jra; to run;Verb;;jri;;;;;; جرى  ; [sound:darija_227.mp3];
bzzerba; quick quickly;;;;;;;;; بالزربة  ; [sound:darija_228.mp3];
bchwiya; slowly;;;;;;;;; بشوية  ; [sound:darija_229.mp3];
te9riban; approximately ;Adverb;;;;;;;; تقريباً  ; [sound:darija_230.mp3];
dewwech; to shower;Verb;;dewwech;;;;;; دوش  ; [sound:darija_231.mp3];
ttrina; to exercise;Verb;;ttrini;;;;;; ترينا  ; [sound:darija_232.mp3];
3jeb; to like;Verb;;3jeb;;;;;; عجب  ; [sound:darija_233.mp3];
Daruri; important definitely;;;;;;;;; ضروري  ; [sound:darija_234.mp3];
khfif; light;Adjective;;;khfifa;khfaf;khfafat;;; خفيف  ; [sound:darija_235.mp3];
sala; to finish to end;Verb;;sali;;;;;; سالى  ; [sound:darija_236.mp3];
9ra; to read to study;Verb;;9ra;;;;;; قرا  ; [sound:darija_863.mp3];
ktab; book;Noun;ktuba;;;;;;; كتاب  ; [sound:darija_780.mp3];
nneglizia; english;;;;;;;;; الإنجليزية  ; [sound:darija_239.mp3];
lalmaniya; german;;;;;;;;; الألمانية  ; [sound:darija_240.mp3];
lfranSawiya; french;;;;;;;;; الفرنسية  ; [sound:darija_241.mp3];
hna; here;Adverb;;;;;;;; هنا  ; [sound:darija_242.mp3];
temma; there;Adverb;;;;;;;; تما  ; [sound:darija_243.mp3];
weld; boy son;Noun;wlad;;;;;;; ولد  ; [sound:darija_244.mp3];
7it 7itach 7int; because;Conjunction;;;;;;;; حيت حيتاش حينت  ; [sound:darija_245.mp3];
medrasa; school;Noun;madaris/medrasa;;;;;;; مدرسة  ; [sound:darija_246.mp3];
bent; girl daughter;Noun;bnat;;;;;;; بنت  ; [sound:darija_247.mp3];
khDer; green;Adjective;;;kheDra;kheDrin;kheDrat;;; أخضر  ; [sound:darija_249.mp3];
3chiya;afternoon evening;Noun;3chiyat;;;;;;; عشية  ; [sound:darija_762.mp3];
3end; at (place) to have;Preposition;;;;;;;; عند  ; [sound:darija_811.mp3];
Sa7eb; friend;Noun;S7ab;;;;;;; صاحب  ; [sound:darija_252.mp3];
naD; to get up;Verb;;nuD;;;;;; ناض  ; [sound:darija_254.mp3];
Driyyef;nice kind;Adjective;;;Driyfa;Driyfin;Driyfat;;; درييف;[sound:darija_842.mp3];
chi 7aja; something;Pronoun;;;;;;;; شي حاجة  ; [sound:darija_256.mp3];
bnin; delicious;Adjective;;;bnina;bnan;bnanat;;; بنين  ; [sound:darija_257.mp3];
zit; oil;Noun;zit;;;;;;; زيت  ; [sound:darija_258.mp3];
7ameD; lemon;Noun;7ameD;;;;;;; حامض  ; [sound:darija_259.mp3];
mech; cat;Noun;mchach;;;;;;; مش  ; [sound:darija_260.mp3];
kelb; dog;Noun;klab;;;;;;; كلب  ; [sound:darija_261.mp3];
merra merra; from time to time;Adverb;;;;;;;; مرة مرة  ; [sound:darija_262.mp3];
akhir; last;Adjective;;;akhira;akhirin;akhirat;;; آخر  ; [sound:darija_263.mp3];
khdem; to work;Verb;;khdem;;;;;; خدم  ; [sound:darija_264.mp3];
khaTa2; mistake;Noun;akhTa2;;;;;;; خطأ  ; [sound:darija_752.mp3];
chher; month;Noun;chhura;;;;;;; شهر  ; [sound:darija_266.mp3];
d9i9a; minute;Noun;d9aye9;;;;;;; دقيقة  ; [sound:darija_267.mp3];
3emm; paternal uncle;Noun;3mam;;;;;;; عم  ; [sound:darija_268.mp3];
3am; to swim;Verb;;3um;;;;;; عام  ; [sound:darija_269.mp3];
lil; night;Noun;layali;;;;;;; ليل  ; [sound:darija_270.mp3];
caskiTa; cap;Noun;caskiTat;;;;;;; كاسكيطة  ; [sound:darija_271.mp3];
men be3d;then afterwards later;;;;;;;;; من بعد  ; [sound:darija_272.mp3];
sberdila; running shoes;Noun;sberdilat;;;;;;; سبرديلة  ; [sound:darija_273.mp3];
tsenna; to wait;Verb;;tsenna;;;;;; تسنى  ; [sound:darija_274.mp3];
ma 3mmer; never;Adverb;;;;;;;; ما عمر  ; [sound:darija_275.mp3];
3emmer; to fill;Verb;;3emmer;;;;;; عمر  ; [sound:darija_276.mp3];
khwa; to empty;Verb;;khwi;;;;;; خوى  ; [sound:darija_277.mp3];
Sabuna; soap;Noun;Sabun;;;;;;; صابونة  ; [sound:darija_278.mp3];
zayed; too many;Adjective;;;zayda;zaydin;zaydat;;; زايد  ; [sound:darija_279.mp3];
3Tech; thirst;Noun;3Tech;;;;;;; عطش  ; [sound:darija_280.mp3];
jju3; hunger;Noun;jju3;;;;;;; جوع  ; [sound:darija_281.mp3];
fiya le3Tech; I am thirsty;;;;;;;;; فيا العطش  ; [sound:darija_282.mp3];
skhuniya; heat;Noun;skhuniya;;;;;;; سخونية  ; [sound:darija_283.mp3];
zeghba;hair (body);Noun;zgheb;;;;;;;زغبة; [sound:darija_284.mp3];
awwalan; at first;;;;;;;;; أولاً  ; [sound:darija_285.mp3];
tani/3awttani; again;;;;;;;;; ثاني عاوتاني  ; [sound:darija_286.mp3];
muhim; important;Adjective;;;muhima;muhimin;muhimat;;; مهم  ; [sound:darija_287.mp3];
l3erbiya; arabic;;;;;;;;; العربية  ; [sound:darija_288.mp3];
chchel7a l2amazighiya;berber amazigh;;;;;;;;; الشلحة الأمازيغية  ; [sound:darija_289.mp3];
ssbelyuniya; spanish;;;;;;;;; الإسبانية  ; [sound:darija_290.mp3];
chnu; what;;;;;;;;; شنو  ; [sound:darija_291.mp3];
3eyyeT; call;Verb;;3eyyeT;;;;;; عيط  ; [sound:darija_292.mp3];
sewwel; ask;Verb;;sewwel;;;;;; سول  ; [sound:darija_293.mp3];
yak; right;;;;;;;;; يٰك; [sound:darija_294.mp3];
riyada sport; sport;Noun;riyadat sport;;;;;;;رياضة سبور; [sound:darija_295.mp3];
tmechcha; to walk;Verb;;tmechcha;;;;;; تمشى  ; [sound:darija_296.mp3];
gles; to sit;Verb;;gles;;;;;; جلس  ; [sound:darija_297.mp3];
w9ef; to stand up;Verb;;w9ef;;;;;; وقف  ; [sound:darija_878.mp3];
ttekka; to lie down;Verb;;ttekka;;;;;; تكّى  ; [sound:darija_299.mp3];
we9t; time;Noun;aw9at;;;;;;; وقت  ; [sound:darija_300.mp3];
duch; shower;Noun;duchat;;;;;;; دوش  ; [sound:darija_301.mp3]  ;
7iSSa; session lesson;Noun;7iSaS;;;;;;; حصة  ; [sound:darija_302.mp3]  ;
smiya; name;Noun;smiyat;;;;;;; سمية  ; [sound:darija_303.mp3]  ;
lmeghrib; morocco;;;;;;;;; المغرب  ; [sound:darija_304.mp3]  ;
almaniya; germany;;;;;;;;; ألمانيا  ; [sound:darija_305.mp3]  ;
fransa; france;;;;;;;;; فرنسا  ; [sound:darija_306.mp3]  ;
nnegliz; england;;;;;;;;; إنجلترا  ; [sound:darija_307.mp3]  ;
mirikan; the US;;;;;;;;; أمريكا  ; [sound:darija_308.mp3]  ;
Talib; student (university);Noun;Tullab/Talaba;;;;;;; طالب  ; [sound:darija_309.mp3]  ;
jami3a université; university;Noun;jami3at les universités;;;;;;;جامعة  ; [sound:darija_310.mp3]  ;
hDer; to talk;Verb;;hDer;;;;;; حضر  ; [sound:darija_311.mp3]  ;
nishan/dirikt; straight ahead directly;Adverb;;;;;;;; نيشان / ديريكت  ; [sound:darija_312.mp3]  ;
bin; between;Preposition;;;;;;;; بين  ; [sound:darija_313.mp3]  ;
mektaba; library ;Noun;mektabat;;;;;;; مكتبة  ; [sound:darija_314.mp3]  ;
wlla; or;Conjunction;;;;;;;;ولا; [sound:darija_850.mp3];
wella; to become;Verb;;welli;;;;;; ولا  ; [sound:darija_316.mp3]  ;
imma + wella; either + or;;;;;;;;; إما + ولا  ; [sound:darija_317.mp3]  ;
kla; to eat;Verb;;yakel;;;;;; كلا  ; [sound:darija_318.mp3]  ;
dewwez; to pass;Verb;;dewwez;;;;;; دوز  ; [sound:darija_319.mp3]  ;
beslama; bye;;;;;;;;; بسلامة  ; [sound:darija_320.mp3]  ;
